open_time,open,high,low,close,volume,amount,close_time
1711900800000,70381.1300000000000000000000000000,70497.8300000000000000000000000000,70321.8600000000000000000000000000,70469.9100000000000000000000000000,35.29347100,2486248.030000000000000000,1711901100000
1711901100000,70469.9100000000000000000000000000,70516.0000000000000000000000000000,70426.4800000000000000000000000000,70514.1100000000000000000000000000,33.84673200,2385268.780000000000000000,1711901400000
1711901400000,70514.1100000000000000000000000000,70585.3000000000000000000000000000,70508.0000000000000000000000000000,70563.9900000000000000000000000000,26.18019400,1847011.130000000000000000,1711901700000
1711901700000,70563.9900000000000000000000000000,70666.0000000000000000000000000000,70540.0000000000000000000000000000,70662.0000000000000000000000000000,31.52086700,2225984.360000000000000000,1711902000000
1711902000000,70662.0000000000000000000000000000,70662.0000000000000000000000000000,70524.0200000000000000000000000000,70524.0200000000000000000000000000,29.15428500,2058185.770000000000000000,1711902300000
1711902300000,70524.0200000000000000000000000000,70581.2700000000000000000000000000,70520.0000000000000000000000000000,70520.0200000000000000000000000000,17.18454900,1212298.240000000000000000,1711902600000
1711902600000,70520.0200000000000000000000000000,70559.4000000000000000000000000000,70485.0600000000000000000000000000,70530.2800000000000000000000000000,9.55851800,674164.300000000000000000,1711902900000
1711902900000,70530.2800000000000000000000000000,70530.2800000000000000000000000000,70497.4000000000000000000000000000,70497.4000000000000000000000000000,9.10094500,641762.270000000000000000,1711903200000
1711903200000,70497.4000000000000000000000000000,70550.0000000000000000000000000000,70497.3900000000000000000000000000,70507.7900000000000000000000000000,7.64248100,538925.470000000000000000,1711903500000
1711903500000,70507.7900000000000000000000000000,70553.9900000000000000000000000000,70507.7900000000000000000000000000,70538.9400000000000000000000000000,11.46384200,808614.260000000000000000,1711903800000
1711903800000,70538.9400000000000000000000000000,70538.9500000000000000000000000000,70451.9500000000000000000000000000,70458.9900000000000000000000000000,14.71042100,1036719.580000000000000000,1711904100000
1711904100000,70458.9900000000000000000000000000,70469.2100000000000000000000000000,70444.9000000000000000000000000000,70469.2100000000000000000000000000,21.97587000,1548297.930000000000000000,1711904400000
1711904400000,70469.2100000000000000000000000000,70481.1100000000000000000000000000,70444.9800000000000000000000000000,70467.4300000000000000000000000000,8.52722100,600847.840000000000000000,1711904700000
1711904700000,70467.4300000000000000000000000000,70490.0000000000000000000000000000,70464.9300000000000000000000000000,70465.3300000000000000000000000000,6.63545200,467628.620000000000000000,1711905000000
