open_time,open,high,low,close,volume,amount,close_time
1759248000000,113097.4900000000000000000000000000,113154.3800000000000000000000000000,113046.1800000000000000000000000000,113104.6700000000000000000000000000,12.13141732,1372090.490000000000000000,1759248300000
1759248300000,113104.6700000000000000000000000000,113181.7100000000000000000000000000,113064.7000000000000000000000000000,113126.0100000000000000000000000000,31.02015957,3509589.910000000000000000,1759248600000
1759248600000,113126.0100000000000000000000000000,113126.0100000000000000000000000000,112984.9300000000000000000000000000,113055.7400000000000000000000000000,18.04086514,2039471.630000000000000000,1759248900000
1759248900000,113055.7400000000000000000000000000,113122.8200000000000000000000000000,113019.6900000000000000000000000000,113113.3500000000000000000000000000,23.61801229,2670449.810000000000000000,1759249200000
1759249200000,113113.3500000000000000000000000000,113271.6900000000000000000000000000,113028.7900000000000000000000000000,113158.6700000000000000000000000000,36.28286178,4106315.740000000000000000,1759249500000
1759249500000,113158.6700000000000000000000000000,113172.1000000000000000000000000000,113030.9100000000000000000000000000,113054.9300000000000000000000000000,25.80564572,2917841.540000000000000000,1759249800000
1759249800000,113054.9300000000000000000000000000,113082.4900000000000000000000000000,112948.9900000000000000000000000000,112950.7200000000000000000000000000,14.31007608,1617232.730000000000000000,1759250100000
1759250100000,112950.7200000000000000000000000000,112988.1600000000000000000000000000,112915.9000000000000000000000000000,112942.4600000000000000000000000000,15.15761093,1712017.060000000000000000,1759250400000
1759250400000,112942.4600000000000000000000000000,112942.4700000000000000000000000000,112793.0700000000000000000000000000,112922.1600000000000000000000000000,27.47899147,3101751.380000000000000000,1759250700000
1759250700000,112922.1600000000000000000000000000,112949.8700000000000000000000000000,112815.1000000000000000000000000000,112868.2300000000000000000000000000,15.46630823,1745763.730000000000000000,1759251000000
1759251000000,112868.2300000000000000000000000000,112888.7100000000000000000000000000,112792.1800000000000000000000000000,112792.7400000000000000000000000000,16.13368786,1820616.230000000000000000,1759251300000
1759251300000,112792.7400000000000000000000000000,112860.8800000000000000000000000000,112788.7200000000000000000000000000,112830.5500000000000000000000000000,18.27876460,2061911.520000000000000000,1759251600000
1759251600000,112830.5500000000000000000000000000,112989.1200000000000000000000000000,112804.9000000000000000000000000000,112978.6000000000000000000000000000,26.53976117,2996922.280000000000000000,1759251900000
1759251900000,112978.6000000000000000000000000000,113147.5600000000000000000000000000,112978.6000000000000000000000000000,113071.8300000000000000000000000000,19.58423923,2214810.940000000000000000,1759252200000
1759252200000,113071.8300000000000000000000000000,113125.0900000000000000000000000000,113023.2600000000000000000000000000,113125.0900000000000000000000000000,20.94039864,2367816.470000000000000000,1759252500000
1759252500000,113125.0900000000000000000000000000,113218.5000000000000000000000000000,113125.0800000000000000000000000000,113215.7200000000000000000000000000,23.12529272,2617370.010000000000000000,1759252800000
1759252800000,113215.7200000000000000000000000000,113309.1400000000000000000000000000,113143.4100000000000000000000000000,113241.4800000000000000000000000000,29.97114763,3393490.370000000000000000,1759253100000
1759253100000,113241.4800000000000000000000000000,113287.0900000000000000000000000000,113156.2800000000000000000000000000,113231.8000000000000000000000000000,19.13995936,2167099.540000000000000000,1759253400000
1759253400000,113231.8000000000000000000000000000,113269.4100000000000000000000000000,113149.8900000000000000000000000000,113236.0900000000000000000000000000,13.47835862,1526055.970000000000000000,1759253700000
1759253700000,113236.0900000000000000000000000000,113415.5100000000000000000000000000,113220.7100000000000000000000000000,113389.0300000000000000000000000000,123.06426599,13946215.840000000000000000,1759254000000
1759254000000,113389.0300000000000000000000000000,113498.7600000000000000000000000000,113260.6700000000000000000000000000,113288.0100000000000000000000000000,85.55022285,9701345.610000000000000000,1759254300000
1759254300000,113288.0100000000000000000000000000,113288.0100000000000000000000000000,113218.6500000000000000000000000000,113251.4100000000000000000000000000,56.46090284,6393924.460000000000000000,1759254600000
1759254600000,113251.4100000000000000000000000000,113382.2700000000000000000000000000,113251.4100000000000000000000000000,113330.0000000000000000000000000000,45.92390199,5205417.220000000000000000,1759254900000
