open_time,open,high,low,close,volume,amount,close_time
1738339200000,105464.0000000000000000000000000000,105570.5700000000000000000000000000,105348.9300000000000000000000000000,105509.9900000000000000000000000000,102.12620533,10772219.660000000000000000,1738339500000
1738339500000,105509.9900000000000000000000000000,105510.0000000000000000000000000000,105216.8500000000000000000000000000,105358.9800000000000000000000000000,49.19968425,5182313.180000000000000000,1738339800000
1738339800000,105358.9800000000000000000000000000,105384.7200000000000000000000000000,105120.0100000000000000000000000000,105240.0000000000000000000000000000,27.40317959,2883250.160000000000000000,1738340100000
1738340100000,105240.0000000000000000000000000000,105244.9900000000000000000000000000,105044.9400000000000000000000000000,105174.3300000000000000000000000000,53.68092460,5644382.290000000000000000,1738340400000
1738340400000,105174.3300000000000000000000000000,105284.0000000000000000000000000000,105087.7600000000000000000000000000,105283.9900000000000000000000000000,54.31770345,5713862.370000000000000000,1738340700000
1738340700000,105283.9900000000000000000000000000,105312.0000000000000000000000000000,104701.0700000000000000000000000000,104804.0100000000000000000000000000,47.69552630,5006055.620000000000000000,1738341000000
1738341000000,104804.0100000000000000000000000000,105076.3200000000000000000000000000,104804.0100000000000000000000000000,104959.4700000000000000000000000000,40.81127686,4283270.190000000000000000,1738341300000
1738341300000,104959.4700000000000000000000000000,104959.4800000000000000000000000000,104821.8400000000000000000000000000,104821.8400000000000000000000000000,34.85398409,3655477.450000000000000000,1738341600000
1738341600000,104821.8400000000000000000000000000,105016.6400000000000000000000000000,104795.2600000000000000000000000000,104988.0300000000000000000000000000,30.51577239,3201962.030000000000000000,1738341900000
1738341900000,104988.0300000000000000000000000000,105078.2600000000000000000000000000,104975.4300000000000000000000000000,105078.2500000000000000000000000000,31.27881232,3284840.380000000000000000,1738342200000
1738342200000,105078.2500000000000000000000000000,105078.2500000000000000000000000000,104975.0000000000000000000000000000,105062.6500000000000000000000000000,18.72423603,1966480.390000000000000000,1738342500000
1738342500000,105062.6500000000000000000000000000,105101.0500000000000000000000000000,105003.1100000000000000000000000000,105081.8600000000000000000000000000,28.90682427,3036955.420000000000000000,1738342800000
1738342800000,105081.8600000000000000000000000000,105081.8600000000000000000000000000,104881.9100000000000000000000000000,104881.9100000000000000000000000000,19.20470003,2016832.270000000000000000,1738343100000
1738343100000,104881.9100000000000000000000000000,104881.9200000000000000000000000000,104560.0000000000000000000000000000,104733.1100000000000000000000000000,47.25990780,4948942.830000000000000000,1738343400000
1738343400000,104733.1100000000000000000000000000,104883.8300000000000000000000000000,104649.8000000000000000000000000000,104835.3500000000000000000000000000,23.68559277,2481076.800000000000000000,1738343700000
1738343700000,104835.3500000000000000000000000000,104900.4300000000000000000000000000,104756.4200000000000000000000000000,104800.4800000000000000000000000000,25.22950973,2644959.830000000000000000,1738344000000
1738344000000,104800.4800000000000000000000000000,104800.4800000000000000000000000000,104688.0000000000000000000000000000,104779.8100000000000000000000000000,30.77809719,3223964.780000000000000000,1738344300000
1738344300000,104779.8100000000000000000000000000,104995.7400000000000000000000000000,104772.3200000000000000000000000000,104995.7400000000000000000000000000,18.01850987,1890248.500000000000000000,1738344600000
1738344600000,104995.7400000000000000000000000000,105025.9200000000000000000000000000,104879.0300000000000000000000000000,104893.4600000000000000000000000000,20.46974724,2148516.200000000000000000,1738344900000
1738344900000,104893.4600000000000000000000000000,104893.4600000000000000000000000000,104733.3400000000000000000000000000,104742.3800000000000000000000000000,22.47399107,2354888.960000000000000000,1738345200000
1738345200000,104742.3800000000000000000000000000,104783.1600000000000000000000000000,104627.4500000000000000000000000000,104757.2900000000000000000000000000,49.26877099,5159011.720000000000000000,1738345500000
1738345500000,104757.2900000000000000000000000000,104823.4800000000000000000000000000,104700.1300000000000000000000000000,104709.7300000000000000000000000000,20.90501014,2189792.390000000000000000,1738345800000
1738345800000,104709.7300000000000000000000000000,104721.4700000000000000000000000000,104620.0000000000000000000000000000,104690.3800000000000000000000000000,26.15132496,2737194.140000000000000000,1738346100000
