open_time,open,high,low,close,volume,amount,close_time
1753977600000,118306.0400000000000000000000000000,118360.8400000000000000000000000000,118274.5000000000000000000000000000,118303.2200000000000000000000000000,32.73086081,3873044.960000000000000000,1753977900000
1753977900000,118303.2200000000000000000000000000,118424.9600000000000000000000000000,118242.1500000000000000000000000000,118246.3600000000000000000000000000,46.73832684,5531239.200000000000000000,1753978200000
1753978200000,118246.3600000000000000000000000000,118396.2300000000000000000000000000,118242.1400000000000000000000000000,118347.9700000000000000000000000000,10.07160197,1191522.470000000000000000,1753978500000
1753978500000,118347.9700000000000000000000000000,118449.7700000000000000000000000000,118347.9700000000000000000000000000,118435.6900000000000000000000000000,13.51298776,1600228.730000000000000000,1753978800000
1753978800000,118435.6900000000000000000000000000,118484.9600000000000000000000000000,118389.5200000000000000000000000000,118449.9500000000000000000000000000,9.45112271,1119402.410000000000000000,1753979100000
1753979100000,118449.9500000000000000000000000000,118542.8500000000000000000000000000,118380.7600000000000000000000000000,118542.8400000000000000000000000000,9.26479344,1097546.070000000000000000,1753979400000
1753979400000,118542.8400000000000000000000000000,118813.9100000000000000000000000000,118542.8400000000000000000000000000,118806.7400000000000000000000000000,82.82906458,9830046.800000000000000000,1753979700000
1753979700000,118806.7400000000000000000000000000,118878.5500000000000000000000000000,118672.0500000000000000000000000000,118725.9500000000000000000000000000,45.11863576,5361653.180000000000000000,1753980000000
1753980000000,118725.9500000000000000000000000000,118742.9500000000000000000000000000,118604.6600000000000000000000000000,118628.3200000000000000000000000000,27.45027202,3256905.520000000000000000,1753980300000
1753980300000,118628.3200000000000000000000000000,118663.1400000000000000000000000000,118404.5100000000000000000000000000,118466.4800000000000000000000000000,13.71078824,1624948.560000000000000000,1753980600000
1753980600000,118466.4800000000000000000000000000,118562.7300000000000000000000000000,118416.7400000000000000000000000000,118562.7200000000000000000000000000,11.88667044,1408392.220000000000000000,1753980900000
1753980900000,118562.7200000000000000000000000000,118562.7200000000000000000000000000,118483.4100000000000000000000000000,118537.9500000000000000000000000000,14.29933189,1694713.660000000000000000,1753981200000
1753981200000,118537.9500000000000000000000000000,118557.1600000000000000000000000000,118199.4100000000000000000000000000,118266.1900000000000000000000000000,17.70565252,2096037.460000000000000000,1753981500000
1753981500000,118266.1900000000000000000000000000,118363.4100000000000000000000000000,118266.1800000000000000000000000000,118299.2600000000000000000000000000,5.60948776,663673.300000000000000000,1753981800000
1753981800000,118299.2600000000000000000000000000,118350.4600000000000000000000000000,118260.5800000000000000000000000000,118283.5300000000000000000000000000,9.61616097,1137674.860000000000000000,1753982100000
1753982100000,118283.5300000000000000000000000000,118384.4100000000000000000000000000,118102.4200000000000000000000000000,118114.5600000000000000000000000000,11.09496747,1311842.470000000000000000,1753982400000
1753982400000,118114.5600000000000000000000000000,118152.1300000000000000000000000000,117925.0000000000000000000000000000,118021.9600000000000000000000000000,20.27911196,2393024.120000000000000000,1753982700000
1753982700000,118021.9600000000000000000000000000,118021.9600000000000000000000000000,117764.5900000000000000000000000000,117867.1300000000000000000000000000,42.94467687,5061806.460000000000000000,1753983000000
1753983000000,117867.1300000000000000000000000000,117949.0700000000000000000000000000,117745.5800000000000000000000000000,117921.1800000000000000000000000000,30.08905097,3546094.470000000000000000,1753983300000
1753983300000,117921.1800000000000000000000000000,118140.4000000000000000000000000000,117921.1800000000000000000000000000,118080.5800000000000000000000000000,18.31241882,2161676.240000000000000000,1753983600000
1753983600000,118080.5800000000000000000000000000,118092.9100000000000000000000000000,117993.3000000000000000000000000000,118077.8300000000000000000000000000,25.73220299,3038086.790000000000000000,1753983900000
1753983900000,118077.8300000000000000000000000000,118224.3100000000000000000000000000,117940.7900000000000000000000000000,117941.3700000000000000000000000000,27.70064144,3270041.440000000000000000,1753984200000
1753984200000,117941.3700000000000000000000000000,117980.4800000000000000000000000000,117764.4400000000000000000000000000,117780.4400000000000000000000000000,61.78226465,7280180.980000000000000000,1753984500000
1753984500000,117780.4400000000000000000000000000,117907.5200000000000000000000000000,117712.5300000000000000000000000000,117728.4400000000000000000000000000,24.83469524,2925105.890000000000000000,1753984800000
1753984800000,117728.4400000000000000000000000000,117796.5900000000000000000000000000,117606.4400000000000000000000000000,117606.4500000000000000000000000000,25.87213048,3045482.180000000000000000,1753985100000
1753985100000,117606.4500000000000000000000000000,117638.9100000000000000000000000000,117520.5200000000000000000000000000,117520.5300000000000000000000000000,35.82399256,4211995.740000000000000000,1753985400000
1753985400000,117520.5300000000000000000000000000,117638.9400000000000000000000000000,117400.4800000000000000000000000000,117542.5700000000000000000000000000,28.96117701,3403443.670000000000000000,1753985700000
1753985700000,117542.5700000000000000000000000000,117615.8300000000000000000000000000,117400.5800000000000000000000000000,117594.4500000000000000000000000000,33.32856552,3915277.430000000000000000,1753986000000
1753986000000,117594.4500000000000000000000000000,117789.6400000000000000000000000000,117575.9300000000000000000000000000,117722.5500000000000000000000000000,22.11743906,2603056.120000000000000000,1753986300000
1753986300000,117722.5500000000000000000000000000,117930.4400000000000000000000000000,117700.3900000000000000000000000000,117930.4300000000000000000000000000,25.59827477,3015563.900000000000000000,1753986600000
1753986600000,117930.4300000000000000000000000000,117989.7300000000000000000000000000,117849.8500000000000000000000000000,117886.8000000000000000000000000000,17.42459333,2054352.020000000000000000,1753986900000
