open_time,open,high,low,close,volume,amount,close_time
1709222400000,3468.6800000000000000000000000000,3470.6000000000000000000000000000,3457.5400000000000000000000000000,3457.6700000000000000000000000000,158.68213000,549885.650000000000000000,1709222700000
1709222700000,3457.6700000000000000000000000000,3465.4100000000000000000000000000,3457.6400000000000000000000000000,3460.0100000000000000000000000000,181.29916000,627675.710000000000000000,1709223000000
1709223000000,3460.0100000000000000000000000000,3464.0800000000000000000000000000,3454.4400000000000000000000000000,3456.6200000000000000000000000000,111.79335000,386751.930000000000000000,1709223300000
1709223300000,3456.6200000000000000000000000000,3456.9400000000000000000000000000,3431.2200000000000000000000000000,3441.9000000000000000000000000000,179.97806000,621342.140000000000000000,1709223600000
1709223600000,3441.9000000000000000000000000000,3446.8500000000000000000000000000,3429.9300000000000000000000000000,3442.5800000000000000000000000000,63.76762000,219326.600000000000000000,1709223900000
1709223900000,3442.5800000000000000000000000000,3444.3000000000000000000000000000,3431.7300000000000000000000000000,3439.7900000000000000000000000000,100.68651000,346436.820000000000000000,1709224200000
1709224200000,3439.7900000000000000000000000000,3449.9300000000000000000000000000,3437.8200000000000000000000000000,3447.2000000000000000000000000000,82.73297000,285191.300000000000000000,1709224500000
1709224500000,3447.2000000000000000000000000000,3452.1000000000000000000000000000,3434.1900000000000000000000000000,3436.8200000000000000000000000000,85.45245000,294036.220000000000000000,1709224800000
1709224800000,3436.8200000000000000000000000000,3436.8200000000000000000000000000,3396.6400000000000000000000000000,3426.5000000000000000000000000000,218.08135000,744303.410000000000000000,1709225100000
1709225100000,3426.5000000000000000000000000000,3435.5900000000000000000000000000,3421.2200000000000000000000000000,3429.3300000000000000000000000000,89.34290000,306407.700000000000000000,1709225400000
1709225400000,3429.3300000000000000000000000000,3443.3900000000000000000000000000,3428.5300000000000000000000000000,3440.4000000000000000000000000000,150.81563000,518407.540000000000000000,1709225700000
1709225700000,3440.4000000000000000000000000000,3441.5000000000000000000000000000,3437.6300000000000000000000000000,3440.8800000000000000000000000000,67.56589000,232431.350000000000000000,1709226000000
1709226000000,3440.8800000000000000000000000000,3451.2600000000000000000000000000,3439.6100000000000000000000000000,3446.5200000000000000000000000000,149.76146000,516245.880000000000000000,1709226300000
1709226300000,3446.5200000000000000000000000000,3447.4500000000000000000000000000,3431.9900000000000000000000000000,3437.9800000000000000000000000000,115.36235000,396451.290000000000000000,1709226600000
1709226600000,3437.9800000000000000000000000000,3437.9800000000000000000000000000,3431.1000000000000000000000000000,3431.3500000000000000000000000000,113.95175000,391382.680000000000000000,1709226900000
1709226900000,3431.3500000000000000000000000000,3441.5900000000000000000000000000,3426.2000000000000000000000000000,3440.3200000000000000000000000000,115.05483000,395144.420000000000000000,1709227200000
1709227200000,3440.3200000000000000000000000000,3440.6000000000000000000000000000,3423.4000000000000000000000000000,3427.9200000000000000000000000000,108.30310000,371410.150000000000000000,1709227500000
1709227500000,3427.9200000000000000000000000000,3434.8900000000000000000000000000,3420.1100000000000000000000000000,3424.3100000000000000000000000000,140.33228000,481027.520000000000000000,1709227800000
1709227800000,3424.3100000000000000000000000000,3427.7200000000000000000000000000,3414.4700000000000000000000000000,3418.9500000000000000000000000000,129.38892000,442914.780000000000000000,1709228100000
1709228100000,3418.9500000000000000000000000000,3422.2700000000000000000000000000,3401.0000000000000000000000000000,3415.1900000000000000000000000000,115.82391000,395323.580000000000000000,1709228400000
1709228400000,3415.1900000000000000000000000000,3415.1900000000000000000000000000,3352.5100000000000000000000000000,3373.1300000000000000000000000000,196.12866000,663103.440000000000000000,1709228700000
1709228700000,3373.1300000000000000000000000000,3390.3800000000000000000000000000,3369.6300000000000000000000000000,3374.1700000000000000000000000000,105.77808000,357605.340000000000000000,1709229000000
1709229000000,3374.1700000000000000000000000000,3386.1700000000000000000000000000,3354.7300000000000000000000000000,3376.0900000000000000000000000000,177.39974000,598485.010000000000000000,1709229300000
1709229300000,3376.0900000000000000000000000000,3389.6800000000000000000000000000,3376.0900000000000000000000000000,3384.8200000000000000000000000000,135.48900000,458700.450000000000000000,1709229600000
1709229600000,3384.8200000000000000000000000000,3398.6000000000000000000000000000,3384.7100000000000000000000000000,3390.7300000000000000000000000000,132.25651000,448553.310000000000000000,1709229900000
1709229900000,3390.7300000000000000000000000000,3411.2100000000000000000000000000,3389.9700000000000000000000000000,3407.2700000000000000000000000000,203.54903000,692535.840000000000000000,1709230200000
1709230200000,3407.2700000000000000000000000000,3409.9300000000000000000000000000,3400.2700000000000000000000000000,3405.6400000000000000000000000000,98.89639000,336754.110000000000000000,1709230500000
1709230500000,3405.6400000000000000000000000000,3410.0000000000000000000000000000,3398.6600000000000000000000000000,3401.7200000000000000000000000000,94.55454000,321928.350000000000000000,1709230800000
1709230800000,3401.7200000000000000000000000000,3406.4900000000000000000000000000,3396.0000000000000000000000000000,3398.6600000000000000000000000000,51.44826000,174959.550000000000000000,1709231100000
1709231100000,3398.6600000000000000000000000000,3400.0800000000000000000000000000,3388.8600000000000000000000000000,3388.8600000000000000000000000000,63.51281000,215480.600000000000000000,1709231400000
1709231400000,3388.8600000000000000000000000000,3391.0000000000000000000000000000,3363.7000000000000000000000000000,3369.3900000000000000000000000000,99.05782000,335010.610000000000000000,1709231700000
1709231700000,3369.3900000000000000000000000000,3376.5200000000000000000000000000,3361.3500000000000000000000000000,3367.5500000000000000000000000000,44.90571000,151215.640000000000000000,1709232000000
1709232000000,3367.5500000000000000000000000000,3375.6000000000000000000000000000,3361.8000000000000000000000000000,3367.9300000000000000000000000000,122.99767000,414120.570000000000000000,1709232300000
1709232300000,3367.9300000000000000000000000000,3369.9100000000000000000000000000,3361.9600000000000000000000000000,3365.2400000000000000000000000000,181.87645000,612403.010000000000000000,1709232600000
1709232600000,3365.2400000000000000000000000000,3367.0900000000000000000000000000,3351.0200000000000000000000000000,3359.4800000000000000000000000000,319.80865000,1073553.950000000000000000,1709232900000
1709232900000,3359.4800000000000000000000000000,3373.7100000000000000000000000000,3358.3800000000000000000000000000,3370.4700000000000000000000000000,199.59515000,671976.490000000000000000,1709233200000
1709233200000,3370.4700000000000000000000000000,3377.9200000000000000000000000000,3358.6800000000000000000000000000,3363.7400000000000000000000000000,74.08018000,249659.890000000000000000,1709233500000
